GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US90404,90404,ZCTA5 90404,73042,4547
8600000US90405,90405,ZCTA5 90405,83034,7479
8600000US90501,90501,ZCTA5 90501,62590,3523
8600000US90502,90502,ZCTA5 90502,67225,6301
8600000US90503,90503,ZCTA5 90503,78290,6288
8600000US90504,90504,ZCTA5 90504,75036,4853
8600000US90505,90505,ZCTA5 90505,84450,3806
8600000US90506,90506,ZCTA5 90506,-,**
8600000US90601,90601,ZCTA5 90601,69011,4211
8600000US90602,90602,ZCTA5 90602,49946,3859
8600000US90603,90603,ZCTA5 90603,92982,6522
8600000US90604,90604,ZCTA5 90604,64653,2426
8600000US90605,90605,ZCTA5 90605,67019,3839
8600000US90606,90606,ZCTA5 90606,63189,4826
8600000US90620,90620,ZCTA5 90620,83524,3257
8600000US90621,90621,ZCTA5 90621,54670,4397
8600000US90623,90623,ZCTA5 90623,83857,4864
8600000US90630,90630,ZCTA5 90630,84421,3682
8600000US90631,90631,ZCTA5 90631,69425,3130
8600000US90638,90638,ZCTA5 90638,81013,3092
8600000US90640,90640,ZCTA5 90640,47598,2184
8600000US90650,90650,ZCTA5 90650,61050,1096
8600000US90660,90660,ZCTA5 90660,57166,3449
8600000US90670,90670,ZCTA5 90670,61071,9140
8600000US90680,90680,ZCTA5 90680,50293,2978
8600000US90701,90701,ZCTA5 90701,58849,7937
8600000US90703,90703,ZCTA5 90703,94752,4712
8600000US90704,90704,ZCTA5 90704,61905,9351
8600000US90706,90706,ZCTA5 90706,50704,1721
8600000US90710,90710,ZCTA5 90710,55176,3615
8600000US90712,90712,ZCTA5 90712,84109,5326
8600000US90713,90713,ZCTA5 90713,89171,3895
8600000US90715,90715,ZCTA5 90715,66239,5221
8600000US90716,90716,ZCTA5 90716,35778,5026
8600000US90717,90717,ZCTA5 90717,59791,4374
8600000US90720,90720,ZCTA5 90720,96290,6577
8600000US90723,90723,ZCTA5 90723,46364,2284
8600000US90731,90731,ZCTA5 90731,48697,2382
8600000US90732,90732,ZCTA5 90732,86594,6810
8600000US90740,90740,ZCTA5 90740,59875,5103
8600000US90742,90742,ZCTA5 90742,76667,7547
8600000US90743,90743,ZCTA5 90743,109028,75007
8600000US90744,90744,ZCTA5 90744,42112,2580
8600000US90745,90745,ZCTA5 90745,71813,2238
8600000US90746,90746,ZCTA5 90746,80175,5768
8600000US90747,90747,ZCTA5 90747,-,**
8600000US90755,90755,ZCTA5 90755,70357,7904
8600000US90802,90802,ZCTA5 90802,45689,3316
8600000US90803,90803,ZCTA5 90803,78406,5747
8600000US90804,90804,ZCTA5 90804,46790,2016
