business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,address2
78028,The Clay Pot House LLC,1000 Clement St,San Francisco,CA,94118,NA,NA,,NA,78028_20160609,6/9/2016 0:00,87,Routine - Unscheduled,78028_20160609_103157,Food safety certificate or food handler card not available,Low Risk,"1000 Clement St, San Francisco, CA"
85157,La Boulangerie De San Francisco,1000 Cole St,San Francisco,CA,94117,NA,NA,,14155440356,85157_20171221,12/21/2017 0:00,88,Routine - Unscheduled,85157_20171221_103144,Unapproved or unmaintained equipment or utensils,Low Risk,"1000 Cole St, San Francisco, CA"
78220,Howard & 6th Street Food Market Inc.,1000 Howard St,San Francisco,CA,94103,NA,NA,,NA,78220_20161005,10/5/2016 0:00,92,Routine - Unscheduled,78220_20161005_103144,Unapproved or unmaintained equipment or utensils,Low Risk,"1000 Howard St, San Francisco, CA"
86381,The Saratoga,1000 Larkin St,San Francisco,CA,94109,NA,NA,,NA,86381_20161102,11/2/2016 0:00,NA,New Construction,,,,"1000 Larkin St, San Francisco, CA"
92676,Vitalist Food,1000 Van Ness Ave 3rd Floor,San Francisco,CA,94109,NA,NA,,NA,92676_20170822,8/22/2017 0:00,NA,New Ownership,,,,"1000 Van Ness Ave 3rd Floor, San Francisco, CA"
82141,Aster,1001 Guerrero St,San Francisco,CA,94110,NA,NA,,14155879810,82141_20160223,2/23/2016 0:00,NA,Complaint,,,,"1001 Guerrero St, San Francisco, CA"
91847,Home Skillet SF,1001 Market St.,San Francisco,CA,94103,NA,NA,,NA,91847_20170830,8/30/2017 0:00,NA,New Ownership,,,,"1001 Market St., San Francisco, CA"
89027,Boba Guys,1002 16th St.,San Francisco,CA,94107,NA,NA,,NA,89027_20170426,4/26/2017 0:00,90,Routine - Unscheduled,89027_20170426_103144,Unapproved or unmaintained equipment or utensils,Low Risk,"1002 16th St., San Francisco, CA"
91974,Newkirk's,1002 Potrero Ave,San Francisco,CA,94110,NA,NA,,NA,91974_20180312,3/12/2018 0:00,96,Routine - Unscheduled,91974_20180312_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,"1002 Potrero Ave, San Francisco, CA"
93428,Tuba Restaurant,1007 Guerrero St.,San Francisco,CA,94110,NA,NA,,NA,93428_20180328,3/28/2018 0:00,89,Routine - Unscheduled,93428_20180328_103105,Improper cooling methods,High Risk,"1007 Guerrero St., San Francisco, CA"
90212,Kingza,1009 Guerrero St,San Francisco,CA,94110,NA,NA,,14155745939,90212_20170131,1/31/2017 0:00,NA,New Ownership,,,,"1009 Guerrero St, San Francisco, CA"
74674,Eli's Hot Dogs,101 Bayshore Blvd,San Francisco,CA,94014,NA,NA,,14155831168,74674_20150818,8/18/2015 0:00,60,Routine - Unscheduled,74674_20150818_103103,High risk food holding temperature,High Risk,"101 Bayshore Blvd, San Francisco, CA"
89920,King Kee,101 Cyril Magnin St,San Francisco,CA,94102,NA,NA,,NA,89920_20180306,3/6/2018 0:00,98,Routine - Unscheduled,89920_20180306_103156,Permit license or inspection report not posted,Low Risk,"101 Cyril Magnin St, San Francisco, CA"
84502,Guerilla Catering,101 Horne Ave #1501,San Francisco,CA,94124,NA,NA,,NA,84502_20150910,9/10/2015 0:00,NA,New Construction,,,,"101 Horne Ave #1501, San Francisco, CA"
78109,Events by The Cheshire Cat,101 Horne Ave Space 1501,San Francisco,CA,94124,NA,NA,,NA,78109_20150526,5/26/2015 0:00,98,Routine - Unscheduled,,,,"101 Horne Ave Space 1501, San Francisco, CA"
90891,Creative Ideas Catering SF,101 Horne Ave.,San Francisco,CA,94124,NA,NA,,NA,90891_20170830,8/30/2017 0:00,NA,New Ownership,,,,"101 Horne Ave., San Francisco, CA"
83565,Sweet Joanna's Cafe,101 Howard St,San Francisco,CA,94105,NA,NA,,NA,83565_20171011,10/11/2017 0:00,93,Routine - Unscheduled,83565_20171011_103103,High risk food holding temperature,High Risk,"101 Howard St, San Francisco, CA"
80304,Sodexo America LLC #43725001,101 Market St,San Francisco,CA,94105,NA,NA,,NA,80304_20170327,3/27/2017 0:00,90,Routine - Unscheduled,80304_20170327_103156,Permit license or inspection report not posted,Low Risk,"101 Market St, San Francisco, CA"
83744,La Fromagerie,101 Montgomery St,San Francisco,CA,94101,NA,NA,,NA,83744_20150925,9/25/2015 0:00,NA,New Construction,,,,"101 Montgomery St, San Francisco, CA"
91191,RT Rotisserie,101 Oak St,San Francisco,CA,94102,NA,NA,,14158418943,91191_20170503,5/3/2017 0:00,NA,New Construction,,,,"101 Oak St, San Francisco, CA"
79970,Peet's Coffee & Tea,101 Post St,San Francisco,CA,94108,NA,NA,,14150593281,79970_20161215,12/15/2016 0:00,92,Routine - Unscheduled,79970_20161215_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,"101 Post St, San Francisco, CA"
88556,Thrive Juicery,101 Spear St,San Francisco,CA,94105,NA,NA,,NA,88556_20180305,3/5/2018 0:00,92,Routine - Unscheduled,,,,"101 Spear St, San Francisco, CA"
86921,The Organic Coup,101 Spear St  B-5,San Francisco,CA,94105,NA,NA,,14155365857,86921_20160426,4/26/2016 0:00,NA,New Construction,,,,"101 Spear St  B-5, San Francisco, CA"
92709,Scotch Bonnet,101 Spear St. # A13,San Francisco,CA,94105,NA,NA,,NA,92709_20180227,2/27/2018 0:00,83,Routine - Unscheduled,92709_20180227_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,"101 Spear St. # A13, San Francisco, CA"
91503,Amawele's South African Kitchen,"101 Spear St., Suite A7",San Francisco,CA,94105,NA,NA,,NA,91503_20170530,5/30/2017 0:00,100,Routine - Unscheduled,,,,"101 Spear St., Suite A7, San Francisco, CA"
89685,CafeLambretta,101 Townsend St,San Francisco,CA,94107,NA,NA,,NA,89685_20171228,12/28/2017 0:00,NA,New Construction,,,,"101 Townsend St, San Francisco, CA"
90042,Gosu Tbar,1014 Clement St,San Francisco,CA,94118,NA,NA,,NA,90042_20170315,3/15/2017 0:00,NA,New Construction,,,,"1014 Clement St, San Francisco, CA"
89993,Henry's Hunan Restaurant,1016 Bryant St.,San Francisco,CA,94103,NA,NA,,NA,89993_20170810,8/10/2017 0:00,78,Routine - Unscheduled,89993_20170810_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,"1016 Bryant St., San Francisco, CA"
76479,Roadside Rosy's,1018 Columbus Ave,San Francisco,CA,94133,NA,NA,,NA,76479_20171020,10/20/2017 0:00,96,Routine - Unscheduled,76479_20171020_103139,Improper food storage,Low Risk,"1018 Columbus Ave, San Francisco, CA"
93197,Dosa Allee,1020 Market St,San Francisco,CA,94102,NA,NA,,NA,93197_20171010,10/10/2017 0:00,NA,New Ownership,,,,"1020 Market St, San Francisco, CA"
87281,Flor de Cafe,1020 Valencia St.,San Francisco,CA,94110,NA,NA,,NA,87281_20170925,9/25/2017 0:00,NA,New Construction,,,,"1020 Valencia St., San Francisco, CA"
93644,J&D's BBQ LLC,103 Horne Ave,San Francisco,CA,94124,NA,NA,,NA,93644_20171128,11/28/2017 0:00,NA,New Ownership,,,,"103 Horne Ave, San Francisco, CA"
93116,Gaufre It!,103 Horne Ave.,San Francisco,CA,94124,NA,NA,,NA,93116_20171004,10/4/2017 0:00,NA,New Ownership,,,,"103 Horne Ave., San Francisco, CA"
94591,PYE,103 Horne St,San Francisco,CA,94124,NA,NA,,NA,94591_20180220,2/20/2018 0:00,NA,New Ownership,,,,"103 Horne St, San Francisco, CA"
74722,Cool Tea Bar Waverly,103 Waverly Pl,San Francisco,CA,94108,NA,NA,,NA,74722_20170531,5/31/2017 0:00,94,Routine - Unscheduled,74722_20170531_103144,Unapproved or unmaintained equipment or utensils,Low Risk,"103 Waverly Pl, San Francisco, CA"
91133,Nourish Cafe,1030 Hyde St,San Francisco,CA,94109,NA,NA,,NA,91133_20170503,5/3/2017 0:00,96,Routine - Unscheduled,91133_20170503_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,"1030 Hyde St, San Francisco, CA"
78275,Chang's Kitchen,1030 Irving St,San Francisco,CA,94122,NA,NA,,14155738110,78275_20160729,7/29/2016 0:00,85,Routine - Unscheduled,78275_20160729_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,"1030 Irving St, San Francisco, CA"
77703,San Tung #2,1033 Irving St,San Francisco,CA,94122,NA,NA,,14150450865,77703_20180410,4/10/2018 0:00,90,Routine - Unscheduled,77703_20180410_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,"1033 Irving St, San Francisco, CA"
89798,Tang Collection,1033 Taraval St,San Francisco,CA,94116,NA,NA,,14155666888,89798_20170104,1/4/2017 0:00,NA,Complaint,89798_20170104_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,"1033 Taraval St, San Francisco, CA"
76960,Jayhoon Fedaiy,1035 Geary Blvd,San Francisco,CA,94109,NA,NA,,NA,76960_20180103,1/3/2018 0:00,79,Routine - Unscheduled,76960_20180103_103156,Permit license or inspection report not posted,Low Risk,"1035 Geary Blvd, San Francisco, CA"
79963,Juice Cold Pressed,1040 Revere Ave,San Francisco,CA,94124,NA,NA,,NA,79963_20150428,4/28/2015 0:00,NA,New Ownership,,,,"1040 Revere Ave, San Francisco, CA"
75991,"Eclectic Cookery, Inc.",1040 Revere Ave #2,San Francisco,CA,94124,NA,NA,,NA,75991_20151005,10/5/2015 0:00,98,Routine - Unscheduled,75991_20151005_103139,Improper food storage,Low Risk,"1040 Revere Ave #2, San Francisco, CA"
82934,"Halal Green Apple Market, Inc.",1042 Polk St,San Francisco,CA,94109,NA,NA,,NA,82934_20171107,11/7/2017 0:00,75,Routine - Unscheduled,82934_20171107_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,"1042 Polk St, San Francisco, CA"
92665,Mogador Moroccan Cafe and Cuisine,105 Valencia St.,San Francisco,CA,94103,NA,NA,,NA,92665_20171206,12/6/2017 0:00,NA,New Construction,,,,"105 Valencia St., San Francisco, CA"
78996,Beeps Burgers,1051 Ocean Ave,San Francisco,CA,94112,NA,NA,,14155582650,78996_20160504,5/4/2016 0:00,94,Routine - Unscheduled,78996_20160504_103154,Unclean or degraded floors walls or ceilings,Low Risk,"1051 Ocean Ave, San Francisco, CA"
77156,Grace Cathedral Corp.,1051 Taylor St,San Francisco,CA,94108,NA,NA,,NA,77156_20160516,5/16/2016 0:00,NA,Routine - Scheduled,77156_20160516_103154,Unclean or degraded floors walls or ceilings,Low Risk,"1051 Taylor St, San Francisco, CA"
82100,New Taraval Cafe,1054 Taraval St,San Francisco,CA,94116,NA,NA,,14155501232,82100_20161221,12/21/2016 0:00,94,Routine - Unscheduled,82100_20161221_103120,Moderate risk food holding temperature,Moderate Risk,"1054 Taraval St, San Francisco, CA"
94695,Navin Thai Restaurant,1059 Powell St,San Francisco,CA,94108,NA,NA,,NA,94695_20180216,2/16/2018 0:00,NA,New Ownership,,,,"1059 Powell St, San Francisco, CA"
